SL_Unit_Name,Level,Unit_Name,Content_Type,Content_Name,Unit_Sub_Unit_Name,Unit_Description,,
Types of Numbers and Factors,Sixth Grade,Unit 5: Negative numbers,Video,Ordering rational numbers,Ordering rational numbers,"Negative numbers are a necessary part of our understanding of mathematics and the world. Negative does not mean ""bad."" It's just changing the same amount, but in the opposite direction, like getting cooler instead of warmer. Absolute value tells us the amount of the change without the direction.",,
Types of Numbers and Factors,Sixth Grade,Unit 5: Negative numbers,Lesson,Ordering small negative numbers,Ordering rational numbers,"Negative numbers are a necessary part of our understanding of mathematics and the world. Negative does not mean ""bad."" It's just changing the same amount, but in the opposite direction, like getting cooler instead of warmer. Absolute value tells us the amount of the change without the direction.",,
Types of Numbers and Factors,Sixth Grade,Unit 5: Negative numbers,Lesson,Ordering rational numbers,Ordering rational numbers,"Negative numbers are a necessary part of our understanding of mathematics and the world. Negative does not mean ""bad."" It's just changing the same amount, but in the opposite direction, like getting cooler instead of warmer. Absolute value tells us the amount of the change without the direction.",,
Types of Numbers and Factors,Sixth Grade,Unit 5: Negative numbers,Video,Absolute value examples,Intro to absolute value,"Negative numbers are a necessary part of our understanding of mathematics and the world. Negative does not mean ""bad."" It's just changing the same amount, but in the opposite direction, like getting cooler instead of warmer. Absolute value tells us the amount of the change without the direction.",,
Types of Numbers and Factors,Sixth Grade,Unit 6: Variables & expressions,Video,Factor with the distributive property,Greatest common factor,"A variable is a symbol that represents a value, often one that changes, like how long you've been awake. Learn ways that we can change an expression's value (such as by changing the values of its variables) or keep the value the same (such as with the distributive property).",,
Types of Numbers and Factors,Sixth Grade,Unit 6: Variables & expressions,Video,Greatest common factor review,Greatest common factor,"A variable is a symbol that represents a value, often one that changes, like how long you've been awake. Learn ways that we can change an expression's value (such as by changing the values of its variables) or keep the value the same (such as with the distributive property).",,
Basic Statistics,Sixth Grade,Unit 11: Data and statistics,Video,"Mean, median, & mode example",Mean and median,"Let's collect and use data to make smart predictions about the world around you! You'll learn how to compare outcomes, to visualize the shape of the data, and to pick a graph type that shows its key features.",,
Basic Statistics,Sixth Grade,Unit 11: Data and statistics,Video,Calculating the mean,Mean and median,"Let's collect and use data to make smart predictions about the world around you! You'll learn how to compare outcomes, to visualize the shape of the data, and to pick a graph type that shows its key features.",,
Basic Statistics,Sixth Grade,Unit 11: Data and statistics,Lesson,Calculating the mean,Mean and median,"Let's collect and use data to make smart predictions about the world around you! You'll learn how to compare outcomes, to visualize the shape of the data, and to pick a graph type that shows its key features.",,
Approximation and Rounding,Third Grade,"Unit 3: Addition, subtraction, and estimation",Lesson,Round to nearest 10 or 100 on the number line,Rounding to nearest 10 or 100,"The world of math is full of twists and turns but luckily, this unit on addition, subtraction, and estimation is here to help you navigate. Whether it's mastering the art of rounding or learning how to regroup, Khan Academy is your secret weapon for success.",,
Approximation and Rounding,Third Grade,"Unit 3: Addition, subtraction, and estimation",Lesson,Round to nearest 10 or 100,Rounding to nearest 10 or 100,"The world of math is full of twists and turns but luckily, this unit on addition, subtraction, and estimation is here to help you navigate. Whether it's mastering the art of rounding or learning how to regroup, Khan Academy is your secret weapon for success.",,
Approximation and Rounding,Third Grade,"Unit 3: Addition, subtraction, and estimation",Lesson,Round to nearest 10 or 100 challenge,Rounding to nearest 10 or 100,"The world of math is full of twists and turns but luckily, this unit on addition, subtraction, and estimation is here to help you navigate. Whether it's mastering the art of rounding or learning how to regroup, Khan Academy is your secret weapon for success.",,
Angles in Triangle,Fourth Grade,Unit 11: Plane figures,Lesson,Classify triangles by angles,Classifying triangles,"In this unit, you'll get to dive into the exciting world of plane figures! You'll learn all about lines, line segments, and rays. You'll even get to experiment with angles and find out how they make shapes look different. Plus, you'll get to explore some cool concepts like parallel and perpendicular lines.",,
Angles in Triangle,Fourth Grade,Unit 11: Plane figures,Lesson,Classify triangles by both sides and angles,Classifying triangles,"In this unit, you'll get to dive into the exciting world of plane figures! You'll learn all about lines, line segments, and rays. You'll even get to experiment with angles and find out how they make shapes look different. Plus, you'll get to explore some cool concepts like parallel and perpendicular lines.",,
Basic Statistics,Sixth Grade,Unit 11: Data and statistics,Video,Median & range puzzlers,Interquartile range (IQR),"Let's collect and use data to make smart predictions about the world around you! You'll learn how to compare outcomes, to visualize the shape of the data, and to pick a graph type that shows its key features.",,
Basic Statistics,Sixth Grade,Unit 11: Data and statistics,Video,Interquartile range (IQR),Interquartile range (IQR),"Let's collect and use data to make smart predictions about the world around you! You'll learn how to compare outcomes, to visualize the shape of the data, and to pick a graph type that shows its key features.",,
Division,Fourth Grade,Unit 5: Division,Video,Division with partial quotients (remainder),Multi-digit division with partial quotients,"Do you like breaking things apart? Then you're going to love learning about division! We'll use place value, area models, and estimation techniques to make dividing by 1-digit numbers a breeze. In this unit, you will even get the inside scoop on what to do when there's a pesky remainder left over.",,
Division,Fourth Grade,Unit 5: Division,Video,Intro to long division (no remainders),Multi-digit division with partial quotients,"Do you like breaking things apart? Then you're going to love learning about division! We'll use place value, area models, and estimation techniques to make dividing by 1-digit numbers a breeze. In this unit, you will even get the inside scoop on what to do when there's a pesky remainder left over.",,
Division,Fourth Grade,Unit 5: Division,Lesson,"Divide multi-digit numbers by 2, 3, 4, and 5 (remainders)",Multi-digit division with partial quotients,"Do you like breaking things apart? Then you're going to love learning about division! We'll use place value, area models, and estimation techniques to make dividing by 1-digit numbers a breeze. In this unit, you will even get the inside scoop on what to do when there's a pesky remainder left over.",,
Division,Fourth Grade,Unit 5: Division,Lesson,"Divide multi-digit numbers by 6, 7, 8, and 9 (remainders)",Multi-digit division with partial quotients,"Do you like breaking things apart? Then you're going to love learning about division! We'll use place value, area models, and estimation techniques to make dividing by 1-digit numbers a breeze. In this unit, you will even get the inside scoop on what to do when there's a pesky remainder left over.",,
Place Value,Early Math,Unit 3: Place value (tens and hundreds),Video,Place value example: 25,Tens,"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",,
Place Value,Early Math,Unit 3: Place value (tens and hundreds),Video,Place value example: 42,Tens,"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",,
Number Patterns,Third Grade,Unit 8: Arithmetic patterns and problem solving,Lesson,Patterns in hundreds chart,Patterns in arithmetic,"Math isn't just about numbers - it's about patterns, too! In this unit, you'll figure out how to spot patterns in different types of problems and learn cool strategies to solve them. You'll tackle word problems, master estimation, and learn to write expressions like a pro.",,
Number Patterns,Third Grade,Unit 8: Arithmetic patterns and problem solving,Lesson,Patterns in multiplication tables,Patterns in arithmetic,"Math isn't just about numbers - it's about patterns, too! In this unit, you'll figure out how to spot patterns in different types of problems and learn cool strategies to solve them. You'll tackle word problems, master estimation, and learn to write expressions like a pro.",,
Angle Types,Fourth Grade,Unit 11: Plane figures,Video,"Acute, right, & obtuse angles",Angle introduction,"In this unit, you'll get to dive into the exciting world of plane figures! You'll learn all about lines, line segments, and rays. You'll even get to experiment with angles and find out how they make shapes look different. Plus, you'll get to explore some cool concepts like parallel and perpendicular lines.",,
Number Patterns,Second Grade,Unit 2: Place value,Video,Skip-counting by 100s,"Counting patterns within 1,000","You know that the number 123 isn't the same as the number 321, but do you really know why? In this unit on place value, we're going to explore what each digit means, how to break down numbers into their different place values, and how to compare numbers to see which is bigger or smaller.",,
Number Patterns,Second Grade,Unit 2: Place value,Lesson,Skip-count by 5s,"Counting patterns within 1,000","You know that the number 123 isn't the same as the number 321, but do you really know why? In this unit on place value, we're going to explore what each digit means, how to break down numbers into their different place values, and how to compare numbers to see which is bigger or smaller.",,
Division,Fourth Grade,Unit 5: Division,Lesson,"Divide multiples of 10, 100, and 1,000 by 1-digit numbers","Divide multiples of 10, 100, and 1,000 by 1-digit numbers","Do you like breaking things apart? Then you're going to love learning about division! We'll use place value, area models, and estimation techniques to make dividing by 1-digit numbers a breeze. In this unit, you will even get the inside scoop on what to do when there's a pesky remainder left over.",,
Division,Fourth Grade,Unit 5: Division,Video,Division using place value,Division with place value,"Do you like breaking things apart? Then you're going to love learning about division! We'll use place value, area models, and estimation techniques to make dividing by 1-digit numbers a breeze. In this unit, you will even get the inside scoop on what to do when there's a pesky remainder left over.",,
Division,Fourth Grade,Unit 5: Division,Lesson,Divide using place value,Division with place value,"Do you like breaking things apart? Then you're going to love learning about division! We'll use place value, area models, and estimation techniques to make dividing by 1-digit numbers a breeze. In this unit, you will even get the inside scoop on what to do when there's a pesky remainder left over.",,
Measurement Length,Fourth Grade,Unit 14: Units of measurement,Video,"US Customary units of length review (in, ft, yd, & mi)",Converting units of length,"Did you know units of measurement are all around us? From how much milk is in your cereal bowl to how far you run in gym class, these measurements help us make sense of the world. In this unit, you'll learn how to estimate and convert measurements for mass, volume, and length.",,
Percentages,Sixth Grade,Unit 3: Rates and percentages,Lesson,Intro to percents,Intro to percents,Rates and percentages are a new and exciting real world application of arithmetic! They come up frequently in everyday life—from figuring out sale prices to calculating tips at restaurants. These are concepts you can actually use every day!,,
Measurement Revision,Fourth Grade,Unit 14: Units of measurement,Lesson,Estimating mass (ounces and pounds),Estimating mass,"Did you know units of measurement are all around us? From how much milk is in your cereal bowl to how far you run in gym class, these measurements help us make sense of the world. In this unit, you'll learn how to estimate and convert measurements for mass, volume, and length.",,
Multiplication,Third Grade,Unit 2: 1-digit multiplication,Video,Distributive property when multiplying,Distributive property,"What's 2 times 5? How about 4 times 7? If you're not sure, don't fear! Khan Academy is here. You'll learn all about the distributive property and how it can help you visualize multiplying numbers in a whole new way so you can multiply like a pro.",,
Time,Early Math,Unit 7: Measurement and data,Video,Time on a number line,Time,"Buckle up! We're zooming into the world of measurement and data. Get ready to learn how to measure in inches, feet, meters, and centimeters. We'll make different graphs to see how data can tell us all kinds of stories. Plus, we'll practice telling time on a number line and clock!",,
Operations on whole numbers,Second Grade,Unit 1: Add and subtract within 20,Video,Repeated addition: haircuts,Add using arrays,"In this unit, we'll learn how to add and subtract small numbers in a fun and interactive way, develop confidence with these basic math skills, and build a strong foundation for future learning.",,
Decimal,Fifth Grade,Unit 8: Multiply decimals,Video,Developing strategies for multiplying decimals,Multiplying decimals strategies,"When it comes to multiplying decimals, there's more than one way to get the job done. Explore different strategies in this unit and find the one that works best for you. From estimation, to area models, to grids, one of these is bound to help you master decimals multiplication.",,
Angle Types,Fourth Grade,Unit 11: Plane figures,Video,Identifying an angle,Angle introduction,"In this unit, you'll get to dive into the exciting world of plane figures! You'll learn all about lines, line segments, and rays. You'll even get to experiment with angles and find out how they make shapes look different. Plus, you'll get to explore some cool concepts like parallel and perpendicular lines.",,
Division,Fifth Grade,Unit 10: Powers of ten,Video,"Dividing decimals by 10, 100, and 1000","Multiplying and dividing decimals by 10, 100, and 1000","Math is all about patterns, and there's no better place to see that than with powers of ten. In this unit, you'll learn the patterns in multiplying and dividing by 10, 100, and 1000. Get ready to zoom through zeros!",,
Word Problems,Third Grade,Unit 13: Measurement,Video,Word problems with mass,Mass,How heavy is that rock? How much water can that jar hold? These are just a few of the questions we'll tackle in this unit as we learn all about mass and volume!,,
Operations on Fractions,Fourth Grade,Unit 8: Add and subtract fractions,Video,Adding fractions with like denominators,Adding and subtracting fractions with like denominators,"Adding 3 eighths and 2 eighths is as easy as adding 3 stars and 2 stars. We'll add and subtract fractions with like denominators. Then we'll check out a special set of fractions, called decimal fractions. We'll even collect and interpret measurement data with fractions.",,
Multiplication,Fourth Grade,Unit 3: Multiply by 1-digit numbers,Lesson,"Understand multiplying by a multiple of 10, 100, and 1000","Multiplication by 10s, 100s, and 1000s","This unit will teach you all about multiplying by 1-digit numbers using the distributive property, area models, and multiples of 10. With these tools in your math toolkit, you'll be a multiplication master in no time. So what are you waiting for? Let's dive in!",,
Measurement Length,Kindergarten,Unit 3: Measurement and geometry,Lesson,Compare length,Comparing size,"Learn how to compare objects based on their size. Learn basic shapes, compare shapes, and use shapes to create new shapes.",,
Operations on whole numbers,Early Math,Unit 4: Addition and subtraction within 20,Lesson,Add within 20 visually,Addition within 20,"Math can be a blast! In this unit, you'll learn about adding and subtracting numbers up to 20. That might sound tricky, but you'll have all the tools to help you out. Place value blocks, ten frames, arrays, and number lines can all make solving words problems a snap.",,
Operations on whole numbers,Kindergarten,Unit 2: Addition and subtraction,Lesson,Subtract within 10,"Put together, take apart",Learn the basics of adding and subtracting.,,
Operations on whole numbers,Second Grade,Unit 1: Add and subtract within 20,Video,Add and subtract within 20: FAQ,Add within 20,"In this unit, we'll learn how to add and subtract small numbers in a fun and interactive way, develop confidence with these basic math skills, and build a strong foundation for future learning.",,
Operations on whole numbers,Early Math,Unit 4: Addition and subtraction within 20,Lesson,Add within 20,Addition within 20,"Math can be a blast! In this unit, you'll learn about adding and subtracting numbers up to 20. That might sound tricky, but you'll have all the tools to help you out. Place value blocks, ten frames, arrays, and number lines can all make solving words problems a snap.",,
Circles and Other Shapes,Second Grade,Unit 8: Geometry,Video,Equal parts of circles and rectangles,Equal parts of shapes,"Are you ready to dive into the world of shapes? In this geometry unit, you'll learn all about squares, rectangles, and more. Plus, you'll find out how to split them into equal parts for even more fun!",,
Operations on whole numbers,Early Math,Unit 1: Counting,Lesson,Count in pictures,Counting objects,"1, 2, 3, let's count! In this unit, we're going to take our counting skills to the next level. We'll count pictures, objects, and even compare different numbers. By the end of the unit, you'll be able to count all the way up to 120 like it's no big deal!",,
Operations on Fractions,Third Grade,Unit 5: Understand fractions,Video,Cutting shapes into equal parts,Fractions intro,"Come explore the wonderful world of fractions! In our 3rd grade unit, you'll learn how to break numbers into bite-sized pieces, plot them on a number line, and show them off in a tape diagram.",,
Number Patterns,Third Grade,Unit 8: Arithmetic patterns and problem solving,Video,Finding patterns in numbers,Patterns in arithmetic,"Math isn't just about numbers - it's about patterns, too! In this unit, you'll figure out how to spot patterns in different types of problems and learn cool strategies to solve them. You'll tackle word problems, master estimation, and learn to write expressions like a pro.",,
Place Value,Fourth Grade,Unit 1: Place value,Video,Place value blocks,Intro to place value,"It's time to master place value! In this unit, you'll use blocks and tables to learn all about expanding, standardizing, and writing numbers. You'll also sharpen your skills in comparing and regrouping whole numbers.",,
Ratio and Proportions,Sixth Grade,Unit 1: Ratios,Lesson,Ratios on coordinate plane,Ratio application,"Ratios let us see how two values relate, especially when the values grow or shrink together. From baking recipes to sports, these concepts find their way into our lives on a daily basis.",,
Number Patterns,Fourth Grade,Unit 8: Add and subtract fractions,Lesson,Add and subtract mixed numbers (with regrouping),Adding and subtracting mixed numbers,"Adding 3 eighths and 2 eighths is as easy as adding 3 stars and 2 stars. We'll add and subtract fractions with like denominators. Then we'll check out a special set of fractions, called decimal fractions. We'll even collect and interpret measurement data with fractions.",,
Angles in Triangle,Sixth Grade,Unit 8: Plane figures,Lesson,Area of right triangles,Areas of triangles,"In this unit, you'll become an expert on plane figures! You'll learn how to find the area of parallelograms and triangles, and even take on the challenge of composite figures. You'll also get some practice finding missing lengths and breaking down shapes into simpler parts. Get ready to show those plane figures who's boss!",,
Basic Statistics,Sixth Grade,Unit 11: Data and statistics,Lesson,Calculating the median,Mean and median,"Let's collect and use data to make smart predictions about the world around you! You'll learn how to compare outcomes, to visualize the shape of the data, and to pick a graph type that shows its key features.",,
Approximation and Rounding,Fourth Grade,"Unit 2: Addition, subtraction, and estimation",Lesson,Round whole numbers word problems,Rounding whole numbers,"Addition and subtraction are key skills for any math whiz. In this unit, you'll sharpen those skills by working with multi-digit numbers. You'll also learn how to round and estimate, so you can quickly make calculations even when you don't have a calculator handy.",,
Division,Third Grade,Unit 4: Intro to division,Lesson,Division with groups of objects,Division intro,"Now that you know all about multiplication, it's time to divide and conquer! In this unit, you'll learn the basics of division and how it's connected to everything you've already learned about multiplication.",,
Perimeter and Area,Third Grade,Unit 10: Area,Lesson,Area and the distributive property,Area and the distributive property,"Everything around us has a measurable area from the floor we walk on to the walls of our rooms. In this unit, we'll be exploring area! We'll learn some handy ways to figure out just how much space a shape covers--from counting squares, to multiplying, to breaking shapes down into smaller pieces. Let's get measuring!",,
Types of Numbers and Factors,Sixth Grade,Unit 6: Variables & expressions,Lesson,Greatest common factor,Greatest common factor,"A variable is a symbol that represents a value, often one that changes, like how long you've been awake. Learn ways that we can change an expression's value (such as by changing the values of its variables) or keep the value the same (such as with the distributive property).",,
Basic Statistics,Sixth Grade,Unit 11: Data and statistics,Lesson,Calculating the median,Mean and median,"Let's collect and use data to make smart predictions about the world around you! You'll learn how to compare outcomes, to visualize the shape of the data, and to pick a graph type that shows its key features.",,
Basic Statistics,Sixth Grade,Unit 11: Data and statistics,Video,Interquartile range review,Interquartile range (IQR),"Let's collect and use data to make smart predictions about the world around you! You'll learn how to compare outcomes, to visualize the shape of the data, and to pick a graph type that shows its key features.",,
Word Problems,Early Math,Unit 4: Addition and subtraction within 20,Lesson,Comparison word problems: roly-polies,"Word problems with ""more"" and ""fewer""","Math can be a blast! In this unit, you'll learn about adding and subtracting numbers up to 20. That might sound tricky, but you'll have all the tools to help you out. Place value blocks, ten frames, arrays, and number lines can all make solving words problems a snap.",,
Word Problems,Early Math,Unit 4: Addition and subtraction within 20,Lesson,Add and subtract within 20 word problems,"Word problems with ""more"" and ""fewer""","Math can be a blast! In this unit, you'll learn about adding and subtracting numbers up to 20. That might sound tricky, but you'll have all the tools to help you out. Place value blocks, ten frames, arrays, and number lines can all make solving words problems a snap.",,
Word Problems,Early Math,Unit 4: Addition and subtraction within 20,Lesson,"Word problems with ""more"" and ""fewer"" 2","Word problems with ""more"" and ""fewer""","Math can be a blast! In this unit, you'll learn about adding and subtracting numbers up to 20. That might sound tricky, but you'll have all the tools to help you out. Place value blocks, ten frames, arrays, and number lines can all make solving words problems a snap.",,
Place Value,Early Math,Unit 5: Addition and subtraction within 100,Video,Subtracting 1s using place value,Subtracting 1s and 10s,"In this unit, you'll learn about adding and subtracting numbers within 100. But don't worry, we're going to make it super fun. You'll practice skip counting by 5s and 10s, use colorful place value blocks, and explore number lines. Plus, you'll solve cool word problems and even some 2-step challenges.",,
Place Value,Early Math,Unit 5: Addition and subtraction within 100,Video,Subtracting 10s using place value,Subtracting 1s and 10s,"In this unit, you'll learn about adding and subtracting numbers within 100. But don't worry, we're going to make it super fun. You'll practice skip counting by 5s and 10s, use colorful place value blocks, and explore number lines. Plus, you'll solve cool word problems and even some 2-step challenges.",,